Timestamp,Power (W)
2025-05-07 15:39:04,2046.8275756835938
2025-05-07 15:39:10,1986.4474487304688
2025-05-07 15:39:16,1965.9130859375
2025-05-07 15:39:22,2013.0018310546875
2025-05-07 15:39:28,2048.3133544921875
2025-05-07 15:39:34,2000.4674682617188
2025-05-07 15:39:40,2011.370361328125
2025-05-07 15:39:46,2040.779052734375
2025-05-07 15:39:52,2005.176025390625
2025-05-07 15:39:59,1991.7874755859375
2025-05-07 15:40:05,2052.9932861328125
2025-05-07 15:40:11,2031.9246826171875
2025-05-07 15:40:17,2044.1190185546875
2025-05-07 15:40:23,1979.6903076171875
2025-05-07 15:40:29,1970.7188720703125
2025-05-07 15:40:35,1976.350341796875
2025-05-07 15:40:41,2016.0503540039062
2025-05-07 15:40:47,2004.6132202148438
2025-05-07 15:40:53,2024.8275146484375
2025-05-07 15:40:59,2069.0905151367188
2025-05-07 15:41:05,1954.1844482421875
2025-05-07 15:41:11,2045.4590454101562
2025-05-07 15:41:17,2062.0418701171875
2025-05-07 15:41:24,2083.86767578125
2025-05-07 15:42:04,2079.5276489257812
2025-05-07 15:42:10,1988.8359985351562
2025-05-07 15:42:16,2033.5361328125
2025-05-07 15:42:22,1993.078857421875
2025-05-07 15:42:28,2023.487548828125
2025-05-07 15:42:34,1993.8845825195312
2025-05-07 15:42:41,2016.0504150390625
2025-05-07 15:42:47,2046.2161254882812
2025-05-07 15:42:53,2039.3619384765625
2025-05-07 15:42:59,2036.3132934570312
2025-05-07 15:43:05,2042.9732666015625
2025-05-07 15:43:11,2062.84765625
2025-05-07 15:43:17,2003.5646362304688
2025-05-07 15:43:23,2006.7589111328125
2025-05-07 15:43:29,2041.9732666015625
2025-05-07 15:43:35,1987.9332275390625
2025-05-07 15:43:41,2034.8760986328125
2025-05-07 15:43:47,2011.6132202148438
2025-05-07 15:43:53,2044.0218505859375
2025-05-07 15:43:59,2039.2647705078125
2025-05-07 15:44:05,2008.7103271484375
2025-05-07 15:44:12,1989.0303344726562
2025-05-07 15:44:18,2040.1676025390625
2025-05-07 15:44:24,2001.8075561523438
2025-05-07 15:44:30,1985.5932006835938
2025-05-07 15:44:36,2035.7789916992188
2025-05-07 15:44:42,2059.94482421875
2025-05-07 15:44:48,2004.8560791015625
2025-05-07 15:44:54,2013.0989379882812
2025-05-07 15:45:00,2037.584716796875
2025-05-07 15:45:06,2038.0704956054688
2025-05-07 15:45:12,1989.5445556640625
2025-05-07 15:45:18,1939.1845092773438
2025-05-07 15:45:25,2018.341796875
2025-05-07 15:45:31,1980.447509765625
2025-05-07 15:45:37,2022.5846557617188
2025-05-07 15:45:43,1956.5731201171875
2025-05-07 15:45:49,2105.9363403320312
2025-05-07 15:45:55,2058.507568359375
2025-05-07 15:46:01,2007.0989990234375
2025-05-07 15:46:07,2021.0018310546875
2025-05-07 15:46:13,2070.0418701171875
2025-05-07 15:46:19,2013.564697265625
2025-05-07 15:46:25,2072.3819580078125
2025-05-07 15:46:31,1960.3302612304688
2025-05-07 15:46:37,1990.8359985351562
2025-05-07 15:46:44,2055.75048828125
2025-05-07 15:46:50,1997.273193359375
2025-05-07 15:46:56,2034.73046875
